nombre,cod_depend,cod_tramo,cod_tipo_d,cod_estado,cod_munici,direccion,codigo_pos,cod_titula,utm_x,utm_y,v_desde,id_provinc
BIF. CANAL DEL DUERO,B0602,"011000180",F,FS,,,,AD,360326.8344,4617523.5355,19,47
BIF. GRIJOTA,B1505,"061300030",B,EX,,,,AD,370011.2076,4655450.9394,51,34
KM 59.560,C5441,"044660010",K,EX,,,,AV,391783.5195,4110693.549,19,29
KM 86.520,C5442,"044640010",K,EX,,,,AD,412893.8349,4121118.024,19,29
CENTRO TRATAMIENTO TECNICO VALENCIA FUENTE S. LUIS,46A06,"033040010",O,EX,,,,AD,725839.8936,4369065.4736,19,46
CAPARROSO,"80113","017100070",T,EX,"310654",,"31380",AD,611537.2986,4692956.0207,1,31
ROBLIZA (APD),"33004","011200070",Y,FS,"372702",,"37491",AD,248799.9656,4529861.3379,1,37
IZNALLOZ,"57003","044160020",T,EX,"181054",,"18550",AD,453275.3149,4138920.5592,1,18
DEIFONTES,"57004","044160020",T,EX,"180665",,"18570",AD,447157.1837,4131936.2302,1,18
CALICASAS,"57005","044160020",Y,FS,"180037",,"18220",AD,441472.7338,4127342.7479,1,18
CAMPILLOS,"55001","044200020",A,EX,"290326",,"29320",AD,334253.8817,4100066.802,1,29
TEBA (APD),"55002","044200020",Y,FS,"290897",,"29327",AD,328791.7287,4095999.5493,1,29
SETENIL,"55005","044200030",T,EX,"110342",,"11692",AD,310919.9805,4081713.5303,1,11
BENAOJAN-MONTEJAQUE,"55010","044200040",T,EX,"290287",,"29370",AD,299362.5152,4065472.276,1,29
SAN YAGO (APD),"10201","011000070",P,EX,"280611",,"28400",AD,412782.0757,4496847.9221,1,28
SALVATERRA,"22109","068100040",T,EX,"360502",,"36450",AD,45409.4899,4673470.2382,1,36
SELA (APD),"22107","068100040",P,EX,"360010",,"36494",AD,57003.5434,4673896.4347,1,36
POUSA-CRECENTE (APD),"22105","068100040",P,EX,"360144",,"36420",AD,67325.3217,4678231.4184,1,36
FILGUEIRA,"22103","068100040",T,EX,"360144",,"36420",AD,72032.4478,4687225.488,1,36
AS NEVES,"22108","068100040",T,EX,"360340",,"36440",AD,51581.2979,4672388.394,1,36
ARBO,"22106","068100040",T,EX,"360010",,"36438",AD,61722.1926,4675269.5936,1,36
FRIEIRA,"22104","068100040",T,EX,"360144",,"36420",AD,70249.3795,4680081.5617,1,36
AS GANDARAS,"22203","068100060",E,EX,"360391",,"36408",AD,35094.9985,4677327.4908,51,36
O PORRIÑO,"22201","068100060",T,EX,"360391",,"36408",AD,35523.6997,4683315.7708,1,36
LOUREDO-VALOS,"22202","068100060",T,EX,"360335",,"36415",AD,38125.2489,4690987.02,1,36
CHAPELA (APD),"22302","068100080",F,FS,"360451",,"36320",AD,32254.7622,4695146.2162,1,36
CARDEÑOSA DE AVILA,"34002","011220010",T,EX,"050492",,"05320",AD,352172.9106,4511279.6349,1,5
BARALLOBRE (APD),"21007","068040010",P,EX,"150354",,"15500",AD,80241.7677,4825311.6944,1,15
CASTELLBISBAL-AGUJAS MOLINS,A7229,"022380015",B,EX,"080543",,"08755",AD,917154.9579,4600082.7233,5,8
"MALAGA-AG.K191,4",A5440,"044300130",F,FS,"290672",,"29002",AD,371240.4666,4063358.1137,2,29
MANZANEQUE,"37105","05999FS50",F,FS,"450909",,"45460",AD,431138.1713,4387523.7561,1,45
AEROPUERTO-T4,"98305","029080010",T,EX,"280796",,"28042",AD,449720.7032,4482580.3171,8,28
ALACANT-TERMINAL,"60911","130420110",E,EX,"030149","Avda. Salamanca, 1","03005",AV,718870.0006,4247018.2282,1,3
ALACANT-BENALUA (CGD),"62105","033340010",F,FS,"030149",,"03008",AD,719034.8747,4246261.4354,1,3
BENIEL,"62001","033360010",T,EX,"300102",,"30130",AD,675536.752,4212670.55,1,30
ORIHUELA - MIGUEL HERNANDEZ,"62002","033360020",T,EX,"030993",,"03300",AD,680282.5149,4216451.3429,5,3
BIF. CAMBIADOR VALDESTILLAS,B0802,"110800070",B,EX,"471821",,"47240",AV,350978.0547,4593123.6351,1,47
"KM. 51,878",C0809,"110800020",K,EX,"281202",,"28740",AV,422918.5494,4522623.5762,1,28
SEGOVIA-GUIOMAR,"08004","110800030",E,EX,"401945","Polg. Hontoria, junto Ermita Juarrillo","40006",AV,407794.2587,4529363.7928,1,40
"PK KM. 126,7",C0812,"110800040",K,EX,"400827",,"40496",AV,364598.9688,4565634.8554,1,40
VALDESTILLAS-A.V.,"08009","110800060",E,EX,"471821",,"47240",AV,350390.4783,4591489.354,1,47
GUADALAJARA-YEBES,"04007","120500030",E,EX,"191305","Carretera nacional 320, Km268","19000",AV,489294.8327,4492866.2186,1,19
"PK KM. 174,7",C4002,"120500050",K,EX,"500153",,"42269",AV,571487.6007,4561689.416,1,42
GUALLAR,"04030","120500080",E,EX,"502973",,"50011",AV,659884.4498,4613385.3082,1,50
