 CÓDIGO;METRO;METRO_LIGERO;AEROPUERTO;BUS;TREN_LD
70200;;;;;
70105;;;;;
70108;7;;;;
18001;;;;;
18005;5;;;;
10000;6 10 R;;;;TRUE
35609;3 5;;;;
18101;1 2 3 5;;;;
70002;;;;;
37001;3;;;;
60100;;;;;
60101;;;;;
60107;;;;;
10001;;2;;;
35603;10;;;;
35702;;;;;
70001;1;;;;
70003;;;;;
70109;;;;;
17001;;;;;
97200;9;;;;
97201;;;;;
97100;7;;;;
17000;1 10;;;;TRUE
35703;;;;;
35704;;;;;
98305;8;;TRUE;;
35601;;;;;
35602;;;;;
18000;1;;;;TRUE
18003;6;;;TRUE;
18004;;;;;
35701;6;;;TRUE;
18002;6 8 10;;;;
35600;5;;;;
35608;6;;;;
17003;;;;;
17009;;;;;
19001;;;;;
98003;;1;;;
70100;;;;;
98304;;;;;
19002;;;;;
19003;;;;;
10007;;;;;
10002;;;;;
10010;;;;;
10005;;;;;
10100;;;;;
10103;;;;;
10203;;;;;
10101;;;;;
10201;;;;;
10202;;;;;
60200;;;;;
60103;;;;;
60104;;;;;
60105;;;;;
10200;;;;;
12001;;;;;
10104;;;;;
12002;;;;;
12004;;;;;
12005;;;;;
12006;;;;;
12020;;;;;
17004;;;;;
17005;;;;;
70111;;;;;
70103;;;;;
70107;;;;;
70101;;;;;
70102;;;;;
70112;;;;;
70104;;;;;
37011;;;;;
37002;12;;;;
37010;;;;;
60102;;;;;
60109;3 12;;;;
35001;12;;;;
35011;;;;;
35009;;;;;
35605;12;;;;
35610;;;;;
35604;;;;;
35606;;;;;
35607;;;;;
35002;12;;;;
35010;;;;;
35012;;;;;
37012;;4;;;
12023;;;;;
54500;1 2;;;;TRUE
54517;1;;;;
54505;;;TRUE;;
70807;;1;;;
