route_id,route_short_name,nucleus_slug,nucleus_name
10T0001C1,C1,madrid,Madrid
10T0002C1,C1,madrid,Madrid
10T0003C10,C10,madrid,Madrid
10T0004C10,C10,madrid,Madrid
10T0005C2,C2,madrid,Madrid
10T0006C2,C2,madrid,Madrid
10T0007C3,C3,madrid,Madrid
10T0008C3,C3,madrid,Madrid
10T0011C4,C4,madrid,Madrid
10T0012C4,C4,madrid,Madrid
10T0013C4a,C4a,madrid,Madrid
10T0014C4a,C4a,madrid,Madrid
10T0015C4b,C4b,madrid,Madrid
10T0016C4b,C4b,madrid,Madrid
10T0017C5,C5,madrid,Madrid
10T0018C5,C5,madrid,Madrid
10T0019C2,C2,madrid,Madrid
10T0020C2,C2,madrid,Madrid
10T0025C9,C9,madrid,Madrid
10T0026C9,C9,madrid,Madrid
10T0027C8a,C8a,madrid,Madrid
10T0035C5,C5,madrid,Madrid
10T0037C2,C2,madrid,Madrid
10T0049C2,C2,madrid,Madrid
10T0050C2,C2,madrid,Madrid
10T0051C7,C7,madrid,Madrid
10T0052C7,C7,madrid,Madrid
10T0053C7,C7,madrid,Madrid
10T0054C7,C7,madrid,Madrid
10T0058C7,C7,madrid,Madrid
10T0059C7,C7,madrid,Madrid
10T0060C7,C7,madrid,Madrid
10T0061C8a,C8a,madrid,Madrid
10T0062C8a,C8a,madrid,Madrid
10T0064C10,C10,madrid,Madrid
10T0071C10,C10,madrid,Madrid
10T0072C10,C10,madrid,Madrid
10T0075C10,C10,madrid,Madrid
10T0076C10,C10,madrid,Madrid
10T0083C2,C2,madrid,Madrid
10T0087C8b,C8b,madrid,Madrid
10T0088C8b,C8b,madrid,Madrid
10T0092C8b,C8b,madrid,Madrid
32T0001C1,C1,malaga,Málaga
32T0002C1,C1,malaga,Málaga
32T0003C2,C2,malaga,Málaga
32T0004C2,C2,malaga,Málaga
70T0001C1,C1,zaragoza,Zaragoza
70T0002C1,C1,zaragoza,Zaragoza
70T0005C1,C1,zaragoza,Zaragoza
70T0006C1,C1,zaragoza,Zaragoza
